iter	RMSE
447	1.004906991
448	1.003592967
449	1.001554924
450	0.9990546622
451	0.9975885781
452	0.9967326842
453	0.9939717481
454	0.9920757557
455	0.9900851651
456	0.9885006324
457	0.9861825715
458	0.9848756324
459	0.9833176541
460	0.9809823789
461	0.9792631744
462	0.9773767772
463	0.9756921815
464	0.9736436087
465	0.9719691454
466	0.969960408
467	0.9678154111
468	0.9650838352
469	0.9635623411
470	0.9613424123
471	0.9596700348
472	0.9586911406
473	0.9571238206
474	0.9553961748
475	0.9537656641
476	0.9524457821
477	0.9510283076
478	0.9489136429
479	0.948051737
480	0.9467416566
481	0.9447553342
482	0.9428229912
483	0.941155213
484	0.9387364855
485	0.9371512144
486	0.9346684887
487	0.9336518412
488	0.9323836483
489	0.9305463788
490	0.9289916059
491	0.9277036596
492	0.9259867198
493	0.9238303219
494	0.9222263789
495	0.9209661194
496	0.919594889
497	0.9183341023
498	0.917483034
499	0.9159395524
